date,OT
2018-06-17 11:00:00,40.3224983215332
2018-06-17 11:15:00,40.98149871826172
2018-06-17 11:30:00,41.64049911499024
2018-06-17 11:45:00,41.86050033569336
2018-06-17 12:00:00,42.08000183105469
2018-06-17 12:15:00,42.29999923706055
2018-06-17 12:30:00,43.17850112915039
2018-06-17 12:45:00,43.61800003051758
2018-06-17 13:00:00,43.837501525878906
2018-06-17 13:15:00,44.27750015258789
2018-06-17 13:30:00,44.71649932861328
2018-06-17 13:45:00,44.936500549316406
2018-06-17 14:00:00,45.3759994506836
2018-06-17 14:15:00,45.59550094604492
2018-06-17 14:30:00,45.81549835205078
2018-06-17 14:45:00,46.03549957275391
2018-06-17 15:00:00,46.25500106811523
2018-06-17 15:15:00,46.25500106811523
2018-06-17 15:30:00,46.25500106811523
2018-06-17 15:45:00,45.81549835205078
2018-06-17 16:00:00,45.15650177001953
2018-06-17 16:15:00,44.71649932861328
2018-06-17 16:30:00,44.49700164794922
2018-06-17 16:45:00,44.05749893188477
2018-06-17 17:00:00,43.618499755859375
2018-06-17 17:15:00,43.39849853515625
2018-06-17 17:30:00,43.17900085449219
2018-06-17 17:45:00,42.95899963378906
2018-06-17 18:00:00,42.73899841308594
2018-06-17 18:15:00,42.29999923706055
2018-06-17 18:30:00,42.29999923706055
2018-06-17 18:45:00,42.08050155639648
2018-06-17 19:00:00,41.42100143432617
2018-06-17 19:15:00,41.42100143432617
2018-06-17 19:30:00,40.98149871826172
2018-06-17 19:45:00,40.762001037597656
2018-06-17 20:00:00,40.54199981689453
2018-06-17 20:15:00,40.321998596191406
2018-06-17 20:30:00,40.102500915527344
2018-06-17 20:45:00,39.882999420166016
2018-06-17 21:00:00,39.66299819946289
2018-06-17 21:15:00,39.44300079345703
2018-06-17 21:30:00,39.44300079345703
2018-06-17 21:45:00,39.2234992980957
2018-06-17 22:00:00,39.00400161743164
2018-06-17 22:15:00,39.00400161743164
2018-06-17 22:30:00,38.56399917602539
2018-06-17 22:45:00,38.34450149536133
2018-06-17 23:00:00,38.34450149536133
2018-06-17 23:15:00,38.34450149536133
2018-06-17 23:30:00,38.125
2018-06-17 23:45:00,37.90549850463867
