date,value
2020-01-01 00:00:00,283.228066
2020-01-01 00:30:00,279.067376
2020-01-01 01:00:00,270.850506
2020-01-01 01:30:00,267.913244
2020-01-01 02:00:00,272.174668
2020-01-01 02:30:00,272.660862
2020-01-01 03:00:00,275.653096
2020-01-01 03:30:00,278.73569
2020-01-01 04:00:00,287.883552
2020-01-01 04:30:00,293.067446
2020-01-01 05:00:00,308.547586
2020-01-01 05:30:00,320.442598
2020-01-01 06:00:00,345.665452
2020-01-01 06:30:00,376.059798
2020-01-01 07:00:00,411.102388
2020-01-01 07:30:00,433.332796
2020-01-01 08:00:00,451.651842
2020-01-01 08:30:00,451.155814
2020-01-01 09:00:00,441.42889
2020-01-01 09:30:00,434.217878
2020-01-01 10:00:00,426.84453
2020-01-01 10:30:00,411.25344
2020-01-01 11:00:00,389.535116
2020-01-01 11:30:00,378.016878
2020-01-01 12:00:00,361.737178
2020-01-01 12:30:00,344.635004
2020-01-01 13:00:00,339.836798
2020-01-01 13:30:00,344.474914
2020-01-01 14:00:00,356.636418
2020-01-01 14:30:00,368.571494
2020-01-01 15:00:00,389.832566
2020-01-01 15:30:00,421.55437
2020-01-01 16:00:00,453.32423
2020-01-01 16:30:00,476.376612
2020-01-01 17:00:00,490.468316
2020-01-01 17:30:00,497.395538
2020-01-01 18:00:00,492.96091
2020-01-01 18:30:00,487.583032
2020-01-01 19:00:00,483.017838
2020-01-01 19:30:00,474.98985
2020-01-01 20:00:00,462.85083
2020-01-01 20:30:00,431.523592
2020-01-01 21:00:00,397.113728
2020-01-01 21:30:00,354.715686
2020-01-01 22:00:00,321.448828
2020-01-01 22:30:00,293.76257
2020-01-01 23:00:00,273.014552
2020-01-01 23:30:00,261.57381
2020-01-02 00:00:00,252.443716
2020-01-02 00:30:00,247.476962
2020-01-02 01:00:00,257.543916
2020-01-02 01:30:00,255.936864
2020-01-02 02:00:00,256.493184
2020-01-02 02:30:00,255.486566
2020-01-02 03:00:00,262.434044
2020-01-02 03:30:00,270.922056
2020-01-02 04:00:00,288.843246
2020-01-02 04:30:00,302.928066
2020-01-02 05:00:00,351.914508
2020-01-02 05:30:00,417.970638
2020-01-02 06:00:00,491.553604
2020-01-02 06:30:00,523.410364
2020-01-02 07:00:00,516.476508
2020-01-02 07:30:00,502.539678
2020-01-02 08:00:00,488.226888
2020-01-02 08:30:00,465.683722
2020-01-02 09:00:00,449.565172
2020-01-02 09:30:00,438.568762
2020-01-02 10:00:00,423.743762
2020-01-02 10:30:00,412.308296
2020-01-02 11:00:00,405.31368
2020-01-02 11:30:00,397.772168
2020-01-02 12:00:00,389.06167
2020-01-02 12:30:00,382.484844
2020-01-02 13:00:00,390.407558
2020-01-02 13:30:00,384.964482
2020-01-02 14:00:00,383.48564
2020-01-02 14:30:00,378.912656
2020-01-02 15:00:00,385.439452
2020-01-02 15:30:00,400.158308
2020-01-02 16:00:00,419.90526
2020-01-02 16:30:00,437.975062
2020-01-02 17:00:00,446.522912
2020-01-02 17:30:00,452.846654
2020-01-02 18:00:00,441.578056
2020-01-02 18:30:00,439.469572
2020-01-02 19:00:00,446.730354
2020-01-02 19:30:00,447.28912
2020-01-02 20:00:00,439.335604
2020-01-02 20:30:00,415.749524
2020-01-02 21:00:00,389.08948
2020-01-02 21:30:00,354.629008
2020-01-02 22:00:00,323.917846
2020-01-02 22:30:00,300.933338
2020-01-02 23:00:00,284.12047
2020-01-02 23:30:00,271.315796
2020-01-03 00:00:00,265.68948
2020-01-03 00:30:00,258.835692
2020-01-03 01:00:00,267.144142
2020-01-03 01:30:00,269.130498
2020-01-03 02:00:00,267.652136
2020-01-03 02:30:00,265.91198
2020-01-03 03:00:00,269.93918
2020-01-03 03:30:00,275.246926
2020-01-03 04:00:00,289.41574
2020-01-03 04:30:00,312.066524
2020-01-03 05:00:00,363.080282
2020-01-03 05:30:00,412.770336
2020-01-03 06:00:00,476.285942
2020-01-03 06:30:00,501.676936
2020-01-03 07:00:00,490.210286
2020-01-03 07:30:00,466.208072
2020-01-03 08:00:00,447.383796
2020-01-03 08:30:00,426.5104
2020-01-03 09:00:00,415.181678
2020-01-03 09:30:00,410.58897
2020-01-03 10:00:00,408.346736
2020-01-03 10:30:00,414.24479
2020-01-03 11:00:00,413.644724
