date,OT
0,0.016958018
1,0.13678753
2,-0.381037655
3,-0.077495229
4,0.078465879
5,-0.070036745
6,0.444565867
7,-0.10113156
8,-0.029137741
9,-0.054120965
10,-0.02603354
11,0.094077222
12,-0.24076764
13,0.054793774
14,-0.28265624
15,0.401094704
16,-0.143971673
17,-0.193639241
18,-0.498218321
19,0.506262898
20,0.061160403
21,0.011299512
22,-0.142808005
23,0.130981186
24,-0.024294149
25,0.032979018
26,-0.199018197
27,0.395287845
28,0.320128797
29,0.309157376
30,0.406035855
31,0.436885733
32,-0.138154439
33,-0.206266419
34,0.193325565
35,-0.005902284
36,-0.02254076
37,0.181093295
38,-0.233550935
39,0.274823172
40,-0.011452526
41,0.433730542
42,-0.015982058
43,-0.000237638
44,-0.161511032
45,-0.191187266
46,-0.164674076
47,0.064353829
48,0.167580059
49,-0.23513085
50,0.574437793
51,0.188726797
52,0.353445542
53,0.244748862
54,-0.079128922
55,0.074495325
56,0.312262227
57,-0.158408641
58,-0.200496707
59,-0.238492982
60,0.129868427
61,-0.159710511
62,0.392777644
63,0.089199981
64,-0.245155311
65,-0.183202172
66,0.483248453
67,0.647037289
68,0.035849605
69,0.552269243
70,0.248892382
71,0.294397367
72,0.23577477
73,0.379277052
74,-0.268479312
75,-0.362305663
76,-0.254911917
77,0.220357118
78,0.169178601
79,-0.200229443
80,-0.082741125
81,0.261809599
82,0.103118389
83,-0.005697116
84,0.335229399
85,0.005387714
86,-0.016305389
87,-0.110349079
88,-0.229379845
89,0.475769172
90,-0.430386876
91,0.917325068
92,-0.255083694
93,0.038277749
94,0.204023285
95,0.016544348
96,-0.128608421
97,0.147818974
98,-0.269041357
99,0.48114865
100,-0.037601255
101,0.195560012
102,-0.050581683
103,0.134802583
104,0.363628622
105,0.203842714
106,-0.150440788
107,0.021089884
108,-0.255341541
109,-0.283907781
110,-0.360118464
111,-0.027085799
112,0.058362614
113,0.092111413
114,-0.155234167
115,0.292978929
116,-0.334355337
117,-0.111048296
118,0.60242393
119,-0.343062751
120,-0.180964568
121,0.013137802
122,-0.0927168
123,-0.048727131
124,-0.065902858
125,-0.116425435
126,0.492506409
127,0.010832397
128,0.214097551
129,-0.30457206
130,0.276061587
131,-0.029654192
132,0.34359896
133,-0.440451454
134,0.19838239
135,-0.022370478
136,0.016392616
137,0.046598486
138,0.282009824
139,0.550328518
140,0.272533265
141,0.218886972
142,0.291451624
143,0.274199319
144,0.044366683
145,-0.126022622
146,0.405785219
147,0.399328484
148,0.690915212
149,0.110203264
150,0.375667191
151,0.146385213
152,-0.023502366
153,0.404875154
154,-0.259787761
155,0.061853905
156,-0.322989902
157,-0.387976747
158,-0.249268667
159,0.819838868
160,0.011495226
161,-0.242428422
162,0.396530597
163,0.025956113
164,0.364995964
165,-0.22018464
166,-0.290132631
167,0.212779837
168,-0.091637718
169,0.197565053
170,-0.072301128
171,0.146078756
172,-0.132732623
173,0.078673915
174,0.088893058
175,-0.097479832
176,0.027787868
177,-0.300438074
178,0.197810389
179,-0.396328471
180,0.363864198
181,-0.344563436
182,0.460557522
183,-0.127115846
184,-0.509726167
185,-0.608336527
186,0.300049383
187,-0.099875367
188,-0.316705137
189,-0.011391904
190,0.765333722
191,0.315727297
192,0.556107048
193,-0.568650058
194,-0.222437457
195,-0.256489698
196,-0.047054697
197,0.335023046
198,-0.591909521
199,-0.798591934
200,-0.455751667
201,0.15857418
202,-0.028607434
203,-0.044616108
204,0.279730071
205,0.185715418
206,-0.09350656
207,0.315066609
208,-0.124441525
209,-0.301179082
210,-0.145645754
211,-0.025760951
212,0.138892052
213,-0.337577283
214,-0.060578092
215,0.292317219
216,-0.185517786
217,-0.04427667
218,-0.183097424
219,-0.6103344
220,-0.073783539
221,0.607026544
222,0.121781364
223,-0.311786185
224,-0.453575363
225,0.245043468
226,0.24116221
227,-0.031857888
228,-0.429983586
229,-0.386562652
230,0.586995392
231,-0.40938848
232,0.259537782
233,0.041007864
234,0.658447991
235,0.294323171
236,-0.114422488
237,0.045489168
238,0.345177211
239,-0.045747069
240,-0.07666577
241,0.184572016
242,0.094805523
243,0.242406534
244,-0.196284845
245,0.240461583
246,0.116095518
247,0.258604438
248,0.444489319
249,0.317705718
250,-0.048840746
251,-0.426026126
252,-0.217530666
253,-0.075692113
254,-0.073997959
255,0.420093507
256,-0.726670769
257,0.582466964
258,0.252973061
259,0.356170658
260,0.041547109
261,0.33518549
262,-0.154318574
263,-0.225213806
264,0.143806199
265,0.547045211
266,0.118366373
267,-0.183131128
268,0.127563943
269,0.171249267
270,0.121776042
271,0.01774975
272,-0.287793556
273,0.17335911
274,0.145376133
275,-0.318974988
276,-0.102860027
277,0.031836218
278,0.121960779
279,0.081432454
280,-0.347277149
281,-0.06368251
282,-0.42079094
283,0.15225076
284,-0.303705063
285,-0.253233115
286,0.269321283
287,-0.715345733
288,-0.167058348
289,-0.50010399
290,-0.138715133
291,-0.047191919
292,-0.253590273
293,-0.024395312
294,0.264253912
295,0.075712211
296,0.302204922
297,0.220971843
298,0.014109856
299,-0.532950097
300,-0.181981118
301,0.131184798
302,-0.013205269
303,0.482911736
304,-0.485618022
305,0.152224439
306,-0.312923892
307,-0.312776976
308,-0.136765913
309,-0.664558185
310,-0.671640302
311,0.142327689
312,0.325800139
313,0.227164018
314,-0.317838113
315,-0.470990477
316,-0.528743467
317,0.266255721
318,-0.539883027
319,0.274242994
320,-0.207193859
321,0.15047707
322,-0.197182091
323,0.477506725
324,-0.174301342
325,0.252909526
326,-0.389750231
327,-0.155828333
328,0.137406703
329,0.195040608
